date,lat_bin,lon_bin,temp_mean,temp_max,temp_min,dewpoint_mean,count
2018-01-01,28.400000000000002,76.80000000000001,13.506214018817229,25.702600000000018,4.828580000000045,8.0879447715054,744
2018-01-01,28.400000000000002,77.05000000000001,13.526236666666689,25.654440000000022,5.1736700000000155,8.203313306451635,744
2018-01-01,28.400000000000002,77.30000000000001,13.399211599462388,25.416650000000004,5.169900000000041,8.450713400537657,744
2018-01-01,28.650000000000002,76.80000000000001,13.205524516129056,25.230600000000038,4.378260000000012,8.265344704301098,744
2018-01-01,28.650000000000002,77.05000000000001,13.188585053763465,25.1635,4.653920000000028,8.386092110215076,744
2018-01-01,28.650000000000002,77.30000000000001,13.19427731182798,25.10055,4.947400000000016,8.496647150537658,744
2018-01-01,28.900000000000002,76.80000000000001,13.03708346774196,24.885770000000036,4.180139999999994,8.386062338709701,744
2018-01-01,28.900000000000002,77.05000000000001,13.007831572580667,24.779870000000017,4.456380000000024,8.480926290322603,744
2018-01-01,28.900000000000002,77.30000000000001,13.023563494623678,24.769650000000013,4.762140000000045,8.565803857526905,744
2018-02-01,28.400000000000002,76.80000000000001,18.199029002976214,30.30892,7.01373000000001,10.938492366071452,672
2018-02-01,28.400000000000002,77.05000000000001,18.187328630952404,30.231040000000007,7.011680000000013,11.0063336011905,672
2018-02-01,28.400000000000002,77.30000000000001,17.93525690476193,29.740560000000016,6.546230000000037,11.372096130952404,672
2018-02-01,28.650000000000002,76.80000000000001,17.675663095238114,29.347650000000044,6.939170000000047,11.320502366071452,672
2018-02-01,28.650000000000002,77.05000000000001,17.63282980654764,29.35480000000001,6.6053,11.397170714285737,672
2018-02-01,28.650000000000002,77.30000000000001,17.65567736607145,29.571619999999996,6.236300000000028,11.415356398809546,672
2018-02-01,28.900000000000002,76.80000000000001,17.27645616071431,28.88363000000004,5.998070000000041,11.472938125000022,672
2018-02-01,28.900000000000002,77.05000000000001,17.26061142857145,28.925900000000013,6.034570000000031,11.529371488095261,672
2018-02-01,28.900000000000002,77.30000000000001,17.324028125000023,29.198020000000042,6.014800000000037,11.508377247023832,672
2018-03-01,28.400000000000002,76.80000000000001,24.70913971774196,38.23782,14.343400000000031,12.919993185483897,744
2018-03-01,28.400000000000002,77.05000000000001,24.677707647849484,38.21700000000004,14.711500000000001,13.105919072580667,744
2018-03-01,28.400000000000002,77.30000000000001,24.304692258064538,37.65040000000005,14.784880000000044,13.731409502688196,744
2018-03-01,28.650000000000002,76.80000000000001,24.12003743279572,37.124540000000025,14.18180000000001,13.68700412634411,744
2018-03-01,28.650000000000002,77.05000000000001,24.034211465053787,37.018520000000024,14.570280000000025,13.891052513440881,744
2018-03-01,28.650000000000002,77.30000000000001,23.936581088709698,36.84255000000002,14.75594000000001,14.064026814516152,744
2018-03-01,28.900000000000002,76.80000000000001,23.59814299731185,36.132780000000025,13.364530000000002,14.296866653225829,744
2018-03-01,28.900000000000002,77.05000000000001,23.504657620967762,36.04287000000005,13.267600000000016,14.453296465053786,744
2018-03-01,28.900000000000002,77.30000000000001,23.470400994623677,35.98153000000002,13.039330000000007,14.538949435483893,744
2018-04-01,28.400000000000002,76.80000000000001,30.1361051527778,41.62243000000001,19.877160000000003,13.973309888888911,720
2018-04-01,28.400000000000002,77.05000000000001,29.9993276527778,41.55126000000001,19.91550000000001,14.268105861111135,720
2018-04-01,28.400000000000002,77.30000000000001,29.638888986111134,41.3236,19.817350000000033,14.8767945277778,720
2018-04-01,28.650000000000002,76.80000000000001,29.553515097222245,41.50985000000003,19.350060000000042,14.693777152777802,720
2018-04-01,28.650000000000002,77.05000000000001,29.36772904166669,41.1096,19.30000000000001,15.01818516666669,720
2018-04-01,28.650000000000002,77.30000000000001,29.2945437777778,40.87673000000001,19.54406,15.200774625000024,720
2018-04-01,28.900000000000002,76.80000000000001,29.072015541666687,41.04748000000001,19.049650000000042,15.129431625000024,720
2018-04-01,28.900000000000002,77.05000000000001,28.86830313888891,40.632930000000044,19.053980000000024,15.435797083333357,720
2018-04-01,28.900000000000002,77.30000000000001,28.844494638888914,40.383399999999995,18.984920000000045,15.554356750000023,720
2018-05-01,28.400000000000002,76.80000000000001,33.36814424731185,44.32656000000003,23.21627000000001,16.606665201612927,744
2018-05-01,28.400000000000002,77.05000000000001,33.24286489247314,44.309870000000046,23.030100000000004,16.986700551075295,744
2018-05-01,28.400000000000002,77.30000000000001,32.88352763440862,44.12240000000003,22.70553000000001,17.718343440860238,744
2018-05-01,28.650000000000002,76.80000000000001,32.997151276881745,43.941130000000044,22.705200000000048,16.82559979838712,744
2018-05-01,28.650000000000002,77.05000000000001,32.8495499731183,44.000969999999995,22.529170000000022,17.20189094086024,744
2018-05-01,28.650000000000002,77.30000000000001,32.61636991935486,43.8417,22.29970000000003,17.669905228494645,744
2018-05-01,28.900000000000002,76.80000000000001,32.638296962365615,43.79666000000003,22.22714000000002,16.90785915322583,744
2018-05-01,28.900000000000002,77.05000000000001,32.29265375000002,43.574850000000026,21.96804000000003,17.441601720430132,744
2018-05-01,28.900000000000002,77.30000000000001,32.049718051075295,43.45736000000005,21.745540000000005,17.909558145161316,744
2018-06-01,28.400000000000002,76.80000000000001,34.248746958333356,43.48055000000005,26.30734000000001,22.47322063888891,720
2018-06-01,28.400000000000002,77.05000000000001,34.04403243055558,42.89193,26.090419999999995,22.731628222222245,720
2018-06-01,28.400000000000002,77.30000000000001,33.72945348611113,42.18472000000003,25.86047000000002,23.1792471527778,720
